x, y
0.0004579732706258585, 6.550234143979081
0.02793050074315333, 13.582944424352913
0.06227116008381267, 22.74182292902581
0.19276566557831817, 25.68574816267067
0.36446896228161485, 27.484813583231418
0.5361722589849116, 28.62967339631553
0.7353480831607357, 29.610981807530482
0.927655775468428, 28.466121994446368
1.078754676567329, 28.466121994446368
1.2092491820618347, 26.176402368278147
1.3054030282156808, 26.176402368278147
1.4358975337101862, 23.723131340240762
1.5663920392046917, 21.10630891033422
1.6900184128310654, 18.32593507855852
1.8548535776662303, 15.2184584430445
2.0574634677761203, 11.620327601923005
2.1604854457980984, 9.003505172016464
2.2016942370068895, 6.223131340240763
2.2360348963475487, 3.6063089103342216
2.3115843468969994, 1.3165892841659972
2.394001929314582, 1.3165892841659972
2.4, 0
5 , 0